year,moisture,nh4,no3,dnra,min,nitr,crop,type,mnum,sampID,nlevel,prepost,ntime,pH_DI,type2,type3,mxgN,n2oavg,nn2o,an2o,n15n2o,a15n2o
2016,0.210161663,0.321915986,11.51,,,,corn,annual,,BC PP 21,,,,5.97,Conventional,Corn,,0.001062382,0.000388637,0.001736126,0.001516976,
2016,0.21641791,0.588774824,9.14,0.966577208,,4.106948658,corn,annual,,BC PP 22,,,,6.31,Conventional,Corn,,0.00092855,0.000821513,0.001035587,0.003125777,
2016,0.120044053,0.384203875,5.35,0.445155373,,,corn,annual,,BC PP 23,,,,6.4,Conventional,Corn,,0.000868695,0.000379414,0.001357977,0.001588066,0.001289272
2016,0.21385902,0.493453822,10.34,,,,corn,annual,,BC PP 24,,,,6.45,Conventional,Corn,,0.001167475,0.001448982,0.000885969,0.000556108,
2016,0.207017544,7.500141017,67.55,,34.66348152,,corn,annual,,BC PP 31,,,,5.97,Conventional,Corn,,0.006835873,0.007332441,0.006339305,0.001321094,0.000964907
2016,0.208098988,0.823975596,8.43,1.179037069,0.024416788,,corn,annual,,BC PP 32,,,,6.11,Conventional,Corn,,0.028551345,0.024020207,0.033082482,0.001845961,0.002936054
2016,0.22247191,0.233113024,7.64,0.217966711,0.024710856,,corn,annual,,BC PP 33,,,,6.31,Conventional,Corn,,0.012370262,0.006632373,0.018108151,0.000381424,0.001409858
2016,0.215707965,0.087593293,5.44,0.302081041,4.269015857,5.893963952,corn,annual,,BC PP 34,,,,6.46,Conventional,Corn,,0.002157184,0.002100966,0.002213401,0.000622552,0.000669606
2016,0.198412698,1.488014331,4.67,0.317944398,,2.377282604,corn,annual,,BC PP 41,,,,5.41,Conventional,Corn,,0.004100185,0.003874036,0.004326333,0.001738081,
2016,0.235227273,1.902880982,8.89,0.788315428,,14.41414873,corn,annual,,BC PP 42,,,,5.48,Conventional,Corn,,0.009823294,0.011743988,0.0079026,0.015363878,
2016,0.212923729,1.632255627,6.72,,,,corn,annual,,BC PP 43,,,,5.73,Conventional,Corn,,0.0072437,0.007513617,0.006973784,0.003321233,0.004981848
2016,0.207087486,2.771717453,6.78,,,,corn,annual,,BC PP 44,,,,5.69,Conventional,Corn,,0.007470254,0.009446958,0.00549355,0.003081984,0.004841759
2017,0.147347741,16.0323712,70.96,9.323260685,,0.592347165,corn,annual,,EF CSR 1,,efpre1,,4.94,Conventional,Soy,,0.003982137,0.004376337,0.003587936,,
2017,0.176063304,10.05904311,21.79,5.438053049,,,corn,annual,,EF CSR 1,,efpost1,,4.97,Conventional,Soy,,0.005506642,0.007128089,0.003885195,,
2017,0.14245283,6.416933593,68.73,11.84945349,,,corn,annual,,EF CSR 2,,efpre1,,5.1,Conventional,Soy,,0.001848974,0.001878128,0.00181982,,
2017,0.171456888,2.488088446,43.86,9.166055075,,,corn,annual,,EF CSR 2,,efpost1,,5.4,Conventional,Soy,,0.005496483,0.004890264,0.006102701,,
2017,0.156761413,3.146038287,45.47,,,,corn,annual,,EF CSR 3,,efpre1,,5.34,Conventional,Soy,,0.004748703,0.00283642,0.006660986,,
2017,0.177865613,26.22967875,100.25,,,,corn,annual,,EF CSR 3,,efpost1,,5.1,Conventional,Soy,,0.018887887,0.027453076,0.010322699,,
2017,0.151885831,7.337443785,97.81,,,,corn,annual,,EF CSR 4,,efpre1,,5.51,Conventional,Soy,,0.003605284,0.003389303,0.003821266,,
2017,0.173741362,6.344885763,49.05,,,,corn,annual,,EF CSR 4,,efpost1,,5.6,Conventional,Soy,,0.008285386,0.00891145,0.007659321,,
2017,0.130391174,0.684066127,0.01,0.48247877,,0.114649911,mxg,perennial,,EF Fmxg 1,,efpre4,,5.56,Perennial,Miscanthus,,0.000568621,0.000630353,0.00050689,,
2017,0.156555773,0.732391203,0,0.799479142,,,mxg,perennial,,EF Fmxg 1,,efpost4,,5.19,Perennial,Miscanthus,,0.001057945,0.001153544,0.000962346,,
2017,0.130434783,0.735936657,0.02,1.008567711,,0.230209304,mxg,perennial,,EF Fmxg 2,,efpre4,,5.37,Perennial,Miscanthus,,0.000669516,0.000657914,0.000681117,,
2017,0.148148148,1.424413317,0.14,4.471634813,,0.575684765,mxg,perennial,,EF Fmxg 2,,efpost4,,5.31,Perennial,Miscanthus,,0.001948302,0.001303451,0.002593154,,
2017,0.147637795,0.872544263,0.08,0.737598785,,0.37123584,mxg,perennial,,EF Fmxg 3,,efpre4,,5.72,Perennial,Miscanthus,,0.003727055,0.006507445,0.000946664,,
2017,0.160037879,0.787188234,0.08,1.254513248,,0.326365217,mxg,perennial,,EF Fmxg 3,,efpost4,,5.6,Perennial,Miscanthus,,0.001493034,0.002095852,0.000890216,,
2017,0.165680473,3.472675433,0.12,,,0.949605613,mxg,perennial,,EF Fmxg 4,,efpre4,,5.36,Perennial,Miscanthus,,0.002751979,0.002781396,0.002722562,,
2017,0.169617894,1.508765315,0.09,2.78893809,,0.156887984,mxg,perennial,,EF Fmxg 4,,efpost4,,5.38,Perennial,Miscanthus,,0.003467425,0.006435382,0.000499468,,
2016,0.156807512,0.035229845,0.21,,0.210142134,0.50522632,soy,annual,,EF PF 11,,,,5.75,Conventional,Soy,,0.002498157,0.004181986,0.000814329,,
2016,0.153913043,0.005189634,0.11,,0.727457694,,soy,annual,,EF PF 12,,,,5.58,Conventional,Soy,,0.00050353,0.000639878,0.000367181,,
2016,0.167424242,0.005372466,0.02,0.18060522,1.367508305,,soy,annual,,EF PF 13,,,,6.12,Conventional,Soy,,0.033082757,0.035149593,0.03101592,,
2016,0.155993432,0.003308217,0.04,0.098571061,0.941486322,,soy,annual,,EF PF 14,,,,5.79,Conventional,Soy,,0.004078727,0.007400923,0.000756531,,
2016,0.189765458,0.006650415,0,,1.361588323,,mxg,perennial,,EF PF 21,,,,5.79,Perennial,Miscanthus,,0.049504491,0.08158694,0.017422042,,
2016,0.176804542,0.00733566,0,,1.430212897,,mxg,perennial,,EF PF 22,,,,5.87,Perennial,Miscanthus,,0.163927585,0.2434285,0.084426669,,
2016,0.192194404,0.005559479,0,,0.650628086,,mxg,perennial,,EF PF 23,,,,5.58,Perennial,Miscanthus,,0.114116909,0.192784181,0.035449637,,
2016,0.19047619,0.007487703,0,,1.248365454,,mxg,perennial,,EF PF 24,,,,5.63,Perennial,Miscanthus,,0.150098758,0.257556096,0.042641421,,
2016,0.178892216,0.005131107,0,,0.961065974,,mxg,perennial,,EF PF 31,,,,5.73,Perennial,Miscanthus,,0.117769778,0.179092838,0.056446718,,
2016,0.196943973,0.007890959,0,,0.835789541,,mxg,perennial,,EF PF 32,,,,5.72,Perennial,Miscanthus,,0.022895652,0.036580627,0.009210678,,
2016,0.203852327,0.010990307,0,,1.285459312,,mxg,perennial,,EF PF 33,,,,5.83,Perennial,Miscanthus,,0.185853414,0.306969954,0.064736874,,
2016,0.192435302,0.008457484,0,,1.30167601,,mxg,perennial,,EF PF 34,,,,5.79,Perennial,Miscanthus,,0.227465256,0.36942606,0.085504452,,
2016,0.169336384,0.008217386,0,,0.342734919,,pv,perennial,,EF PF 41,,,,5.97,Perennial,Switchgrass,,0.040302398,0.062357712,0.018247084,,
2016,0.173383318,0.00733964,0,,1.177349817,,pv,perennial,,EF PF 42,,,,5.86,Perennial,Switchgrass,,0.028958395,0.048151874,0.009764917,,
2016,0.178597252,0.008564976,0,,1.089982083,,pv,perennial,,EF PF 43,,,,5.94,Perennial,Switchgrass,,0.059475796,0.094647805,0.024303787,,
2016,0.197115385,0.006772725,0,,0.809735396,,pv,perennial,,EF PF 44,,,,5.72,Perennial,Switchgrass,,0.037833325,,0.037833325,,
2016,0.114075437,0.595263957,0.47,,3.006784971,,soy,annual,,EF PG 11,,,,5.68,Conventional,Soy,,0.000561945,0.000201977,0.000921913,8.91E-05,0.001568738
2016,0.099082569,0.535581074,0.42,0.05764666,3.740607043,2.192029386,soy,annual,,EF PG 12,,,,5.12,Conventional,Soy,,0.000940066,0.001022659,0.000857473,0.000122038,0.000608216
2016,0.115749526,0.541281772,0.39,,2.666876747,,soy,annual,,EF PG 13,,,,5.46,Conventional,Soy,,0.000744655,0.000482891,0.00100642,0.000141381,0.001035438
2016,0.126838235,0.614761436,0.43,0.053987176,3.158218637,0.498908988,soy,annual,,EF PG 14,,,,5.36,Conventional,Soy,,0.000365469,1.46E-05,0.000716312,7.54E-05,0.000823692
2016,0.132820019,0.714554407,0.11,,4.983710593,,mxg,perennial,,EF PG 21,,,,5.37,Perennial,Miscanthus,,0.000561362,0.000408198,0.000714525,,0.000670053
2016,0.118762475,0.650994891,0.12,,4.833523705,,mxg,perennial,,EF PG 22,,,,5.13,Perennial,Miscanthus,,0.000659545,0.00081887,0.00050022,,0.000503609
2016,0.111434109,0.588077449,0.09,,2.840448974,,mxg,perennial,,EF PG 23,,,,5.35,Perennial,Miscanthus,,-0.007583443,0.000639739,-0.015806626,,-0.000814704
2016,0.134020619,0.498982913,0.03,,3.115505691,,mxg,perennial,,EF PG 24,,,,5.03,Perennial,Miscanthus,,0.001085146,0.001175435,0.000994857,0.000254474,0.000996475
2016,0.117647059,0.379310567,0.07,,1.514370196,,mxg,perennial,,EF PG 31,,,,5.33,Perennial,Miscanthus,,0.001107941,0.001517473,0.00069841,,0.001750936
2016,0.118725869,0.45835686,0.06,,3.37161114,,mxg,perennial,,EF PG 32,,,,5.32,Perennial,Miscanthus,,0.001226152,0.000823057,0.001629247,,0.000569771
2016,0.112185687,0.331536382,0.06,0.056471015,1.940378991,0.572105014,mxg,perennial,,EF PG 33,,,,5.18,Perennial,Miscanthus,,0.001173091,0.000843625,0.001502557,0.000177643,0.000515603
2016,0.129489603,0.418913235,0.15,,2.768011712,,mxg,perennial,,EF PG 34,,,,5.43,Perennial,Miscanthus,,0.000619726,0.000687462,0.000551991,0.000125416,0.000783249
2016,0.144612476,0.815616026,0.07,,3.630463533,,pv,perennial,,EF PG 41,,,,5.23,Perennial,Switchgrass,,0.00150556,0.001809507,0.001201614,,0.000849626
2016,0.162812211,1.001386482,0.05,,4.587506888,,pv,perennial,,EF PG 42,,,,5.43,Perennial,Switchgrass,,0.000299362,0.000509057,8.97E-05,,0.000569202
2016,0.135885167,1.131013245,0.12,,5.602242369,,pv,perennial,,EF PG 43,,,,5.31,Perennial,Switchgrass,,0.001343664,0.001002522,0.001684806,,0.004828999
2016,0.166204986,1.314225628,0.11,,6.164648668,,pv,perennial,,EF PG 44,,,,5.21,Perennial,Switchgrass,,0.00197148,0.001818781,0.002124179,,0.001606443
2016,0.177205882,3.894106212,3.89,2.727513448,0.974692067,5.566932648,soy,annual,,EF PP 11,,,,5.66,Conventional,Soy,,0.006319789,0.002968826,0.009670753,0.005444353,0.001172437
2016,0.15582559,0.592734812,14.1,0.315907833,2.037825291,19.85783669,soy,annual,,EF PP 12,,,,5.61,Conventional,Soy,,0.001086799,1.46E-05,0.002158956,0.00074394,0.000513601
2016,0.157120743,0.32086594,7.42,0.23254719,1.848616554,,soy,annual,,EF PP 13,,,,5.8,Conventional,Soy,,0.001988412,0.006656985,-0.00268016,0.007525017,0.000506904
2016,0.173680184,0.499878572,8.8,0.095574141,2.025478812,3.299368703,soy,annual,,EF PP 14,,,,5.72,Conventional,Soy,,-0.000980191,0.001475026,-0.003435409,0.001622796,0.000173486
2016,0.165584416,1.052796018,0.12,,4.73868212,,mxg,perennial,,EF PP 21,,,,5.18,Perennial,Miscanthus,,0.088535154,0.004314216,0.172756093,,0.002735613
2016,0.203558719,1.660510694,0.3,,6.534026114,,mxg,perennial,,EF PP 22,,,,5.19,Perennial,Miscanthus,,0.189012322,0.288329811,0.089694832,,0.022366479
2016,0.195494771,2.31537653,0.16,,,,mxg,perennial,,EF PP 23,,,,5.21,Perennial,Miscanthus,,0.154299779,0.240506404,0.068093155,,0.021511673
2016,0.153903346,0.734974823,0.16,,5.391355735,,mxg,perennial,,EF PP 24,,,,5.23,Perennial,Miscanthus,,0.060497658,0.084088995,0.03690632,,0.010464571
2016,0.205065359,0.077427111,0.13,,4.495350898,,mxg,perennial,,EF PP 31,,,,5.36,Perennial,Miscanthus,,0.097374947,0.157371308,0.037378585,,0.031988283
2016,0.179061372,0.771884602,0.15,,5.817384368,,mxg,perennial,,EF PP 32,,,,5.46,Perennial,Miscanthus,,0.041121829,0.068961159,0.0132825,,0.005910438
2016,0.163884674,0.432274588,0.14,0.051871442,2.046821189,0.767962348,mxg,perennial,,EF PP 33,,,,5.26,Perennial,Miscanthus,,0.004908308,0.007382134,0.002434482,0.004161075,0.000480094
2016,0.168649405,0.514202061,0.07,,3.778905152,,mxg,perennial,,EF PP 34,,,,5.3,Perennial,Miscanthus,,0.066861428,0.109387466,0.024335389,,0.007893597
2016,0.176470588,2.209332493,1.44,0.578999805,6.127874735,1.697541648,pv,perennial,,EF PP 41,,,,5.47,Perennial,Switchgrass,,0.049870231,0.081209741,0.018530721,0.144424452,0.007831747
2016,0.165665236,1.193270302,2.32,,1.990681988,,pv,perennial,,EF PP 42,,,,5.51,Perennial,Switchgrass,,0.016756273,0.023842626,0.00966992,0.055282835,0.00153756
2016,0.172413793,1.352095118,1.14,,8.873913091,,pv,perennial,,EF PP 43,,,,5.64,Perennial,Switchgrass,,0.018544492,0.021783705,0.01530528,0.025595115,0.002869536
2016,0.166408669,1.18140027,1.27,,6.442621791,,pv,perennial,,EF PP 44,,,,5.3,Perennial,Switchgrass,,0.009840685,0.013147722,0.006533648,0.0162226,0.001592355
2017,0.125,0.90282372,0.11,,,0.406907708,pv,perennial,,EF pv 1,,efpre3,,5.51,Perennial,Switchgrass,,0.000329565,0.000150063,0.000509067,,
2017,0.138643068,1.13803552,0.03,0.849658249,,,pv,perennial,,EF pv 1,,efpost3,,5.44,Perennial,Switchgrass,,0.002090721,0.001631714,0.002549729,,
2017,0.102392344,0.992581959,0.06,,,0.161584603,pv,perennial,,EF pv 2,,efpre3,,5.7,Perennial,Switchgrass,,6.92E-05,-3.85E-05,0.000176913,,
2017,0.14537037,1.196880521,0.11,,,,pv,perennial,,EF pv 2,,efpost3,,5.5,Perennial,Switchgrass,,0.000992576,0.000467646,0.001517506,,
2017,0.117142857,0.903956638,0.24,,,1.513769002,pv,perennial,,EF pv 3,,efpre3,,5.35,Perennial,Switchgrass,,0.000581071,0.000617188,0.000544953,,
2017,0.15509039,1.335905165,0.27,2.96749854,,0.918286616,pv,perennial,,EF pv 3,,efpost3,,5.14,Perennial,Switchgrass,,0.001722581,0.003180169,0.000264993,,
2017,0.127102804,0.931773843,0.12,,,0.219832861,pv,perennial,,EF pv 4,,efpre3,,5.23,Perennial,Switchgrass,,0.000887247,0.000891379,0.000883115,,
2017,0.151936445,1.306368498,0.13,,,,pv,perennial,,EF pv 4,,efpost3,,5.28,Perennial,Switchgrass,,0.004182255,0.001320247,0.007044263,,
2017,0.178671656,40.15520811,37.08,,,,corn,annual,,EF TILL 1,,efpre2,,5.07,Conventional,Corn,,0.003104477,0.001601464,0.00460749,,
2017,0.183830606,23.23649785,29.53,,,,corn,annual,,EF TILL 1,,efpost2,,4.9,Conventional,Corn,,0.015352907,,0.015352907,,
2017,0.138996139,46.70265581,51.85,,,,corn,annual,,EF TILL 2,,efpre2,,5.28,Conventional,Corn,,0.006509036,0.001284062,0.011734011,,
2017,0.164292498,19.51116957,36.57,,,,corn,annual,,EF TILL 2,,efpost2,,5.15,Conventional,Corn,,0.032833851,0.04698569,0.018682013,,
2017,0.146567718,24.47012446,62.63,,,,corn,annual,,EF TILL 3,,efpre2,,4.95,Conventional,Corn,,0.009933778,0.015157722,0.004709834,,
2017,0.187561698,39.10594275,52.01,,,,corn,annual,,EF TILL 3,,efpost2,,5.05,Conventional,Corn,,0.015290812,0.006905566,0.023676058,,
2017,0.144424132,14.94444642,29.07,6.487460492,,,corn,annual,,EF TILL 4,,efpre2,,5.11,Conventional,Corn,,0.003040965,0.004582252,0.001499678,,
2017,0.172804533,15.70728789,32.05,,,,corn,annual,,EF TILL 4,,efpost2,,5.51,Conventional,Corn,,0.048296784,0.07148957,0.025103997,,
2017,0.129353234,0.925207441,0.01,,,0.159126799,mxg,perennial,,EF Umxg 1,,efpre5,,5.48,Perennial,Switchgrass,,0.000445745,0.0008393,5.22E-05,,
2017,0.148148148,0.691324838,0.01,1.831668846,,,mxg,perennial,,EF Umxg 1,,efpost5,,5.23,Perennial,Switchgrass,,0.002060228,0.003115881,0.001004575,,
2017,0.14382896,0.729063255,0.05,,,,mxg,perennial,,EF Umxg 2,,efpre5,,5.86,Perennial,Switchgrass,,0.000853376,0.001613203,9.35E-05,,
2017,0.159851301,0.831126637,0.2,0.97234152,,1.014814777,mxg,perennial,,EF Umxg 2,,efpost5,,5.37,Perennial,Switchgrass,,0.001124279,,0.001124279,,
2017,0.136811024,0.783677542,0.01,,,0.054032095,mxg,perennial,,EF Umxg 3,,efpre5,,5.55,Perennial,Switchgrass,,0.001573154,0.002356958,0.00078935,,
2017,0.16407767,1.149929645,0.77,,,,mxg,perennial,,EF Umxg 3,,efpost5,,5.46,Perennial,Switchgrass,,0.001420947,0.001081059,0.001760835,,
2017,0.159880834,1.192626815,0.08,,,,mxg,perennial,,EF Umxg 4,,efpre5,,5.45,Perennial,Switchgrass,,0.002966047,0.00492717,0.001004924,,
2017,0.16585839,0.912327082,0.15,0.717000377,,0.376016605,mxg,perennial,,EF Umxg 4,,efpost5,,5.44,Perennial,Switchgrass,,0.000685052,0.000997441,0.000372662,,
2018,0.250733138,0.711225031,4.584910885,0.246815841,8.779472252,,soy,annual,4,N1-1,1,,1,5.6375,Conventional,Soy,,0.126461607,0.113261971,0.139661243,0.130017289,0.018815656
2018,0.202586207,0.570315101,6.56639774,0.894341951,4.902242665,10.85226746,soy,annual,2,N1-1,1,,16,5.6375,Conventional,Soy,,0.000787223,0.000292386,0.00128206,0.000261022,0.000240153
2018,0.308853119,1.950539059,4.637163898,,3.763274627,,soy,annual,1,N1-1,1,,16,5.6375,Conventional,Soy,,1.266534484,2.114232002,0.418836966,,0.044967186
2018,0.1558669,0.525870184,3.004993923,0.042366674,4.250618483,6.317722077,soy,annual,3,N1-1,1,,16,5.6375,Conventional,Soy,,0.000207566,-0.000639711,0.001054843,,
2018,0.241655541,1.215543495,4.584910885,,8.897301113,,soy,annual,5,N1-1,1,,16,5.6375,Conventional,Soy,,0.294643496,0.305499461,0.283787531,,
2018,0.241264559,1.008804019,3.626750241,0.118742248,4.53192371,0.446945543,soy,annual,4,N1-2,1,,1,5.6375,Conventional,Soy,,0.123200913,0.141687532,0.104714294,0.114323687,0.018460951
2018,0.214145383,0.598437027,9.630815342,1.365362945,4.488205177,,soy,annual,2,N1-2,1,,16,5.6375,Conventional,Soy,,0.015649658,0.002012152,0.029287165,0.002855186,0.001492448
2018,0.297345133,0.991168646,8.871792295,,7.842605957,,soy,annual,1,N1-2,1,,16,5.6375,Conventional,Soy,,0.931637725,1.260032955,0.603242495,,-0.000594481
2018,0.155021834,0.699849052,8.244557372,0.066078711,4.105210016,8.76921691,soy,annual,3,N1-2,1,,16,5.6375,Conventional,Soy,,1.94E-06,0.000158645,-0.000154764,,
2018,0.214814815,0.778515182,3.626750241,,2.776813582,,soy,annual,5,N1-2,1,,16,5.6375,Conventional,Soy,,0.021999829,0.020267707,0.023731951,,
2018,0.205040092,0.963006861,5.136217682,0.0706082,10.12925666,0.360056549,soy,annual,4,N1-3,1,,1,5.6375,Conventional,Soy,,0.090611642,0.037074998,0.144148285,0.042764836,0.034903876
2018,0.190743338,0.500324475,6.28962993,0.709430735,6.01864599,,soy,annual,2,N1-3,1,,16,5.6375,Conventional,Soy,,0.008199072,0.010423602,0.005974542,0.011727197,0.00129616
2018,0.319060773,1.819924252,9.185239446,,7.153959905,,soy,annual,1,N1-3,1,,16,5.6375,Conventional,Soy,,2.330116161,1.908661101,2.751571221,,-0.000861663
2018,0.138075314,0.88973392,8.294840054,0.068796699,5.362326949,2.567351385,soy,annual,3,N1-3,1,,16,5.6375,Conventional,Soy,,0.000134563,0.000283389,-1.43E-05,,
2018,0.23216445,0.928145787,5.136217682,,8.770272816,,soy,annual,5,N1-3,1,,16,5.6375,Conventional,Soy,,0.165936992,0.118038891,0.213835094,,
2018,0.226950355,0.893522245,5.539745119,0.119199376,8.671388188,3.765165206,soy,annual,4,N1-4,1,,1,5.6375,Conventional,Soy,,0.24158193,0.189359885,0.293803975,0.155539734,-0.000709266
2018,0.168986083,0.813104919,16.01713446,1.540315785,3.719892681,,soy,annual,2,N1-4,1,,16,5.6375,Conventional,Soy,,0.000967845,0.000853584,0.001082105,0.004626432,0.000430805
2018,0.305,2.027200735,8.993437939,,3.141686276,,soy,annual,1,N1-4,1,,16,5.6375,Conventional,Soy,,0.759295627,1.534338373,-0.015747119,,-0.000710159
2018,0.135559921,0.518569479,4.226255826,,,2.465467315,soy,annual,3,N1-4,1,,16,5.6375,Conventional,Soy,,-1.77E-06,-0.000574918,0.000571375,,
2018,0.204272363,0.810981734,5.539745119,,7.209051236,,soy,annual,5,N1-4,1,,16,5.6375,Conventional,Soy,,0.220977681,0.161412694,0.280542669,,
2018,0.241733181,0.49714137,11.63735742,0.403307018,6.972795488,18.7117678,soy,annual,4,N2-1,2,,1,5.6375,Conventional,Soy,,0.143451464,0.154193887,0.132709042,0.179433677,0.011954007
2018,0.197424893,0.75177533,10.95155625,5.25478483,3.921357353,,soy,annual,2,N2-1,2,,16,5.6375,Conventional,Soy,,0.004701819,-0.000178061,0.009581699,0.00043779,-4.06E-05
2018,0.31870229,1.626901674,18.72724729,4.330563469,6.136567571,,soy,annual,1,N2-1,2,,16,5.6375,Conventional,Soy,,0.750204447,1.51340241,-0.012993516,,-0.000711345
2018,0.156190476,0.630544834,9.981746433,0.108203563,3.92493778,50.40243762,soy,annual,3,N2-1,2,,16,5.6375,Conventional,Soy,,-3.63E-05,-0.000534171,0.000461608,,
2018,0.246734398,1.097790379,11.63735742,,8.241611897,,soy,annual,5,N2-1,2,,16,5.6375,Conventional,Soy,,0.257103707,0.197632726,0.316574688,,
2018,0.288401254,0.772135354,16.90118496,1.572963928,3.137528904,,soy,annual,1,N2-2,2,,16,5.6375,Conventional,Soy,,0.621542707,1.25753373,-0.014448316,0.430815975,-0.000392026
2018,0.243396226,0.864011827,10.38843579,0.18770779,7.26803572,9.96040486,soy,annual,4,N2-2,2,,1,5.6375,Conventional,Soy,,0.079145506,0.067381466,0.090909545,0.055843614,0.006401784
2018,0.207455429,0.426640859,13.36013494,,7.047624475,13.16391187,soy,annual,2,N2-2,2,,16,5.6375,Conventional,Soy,,0.010329914,0.001938226,0.018721603,0.002115698,-6.05E-05
2018,0.161676647,0.727454262,13.88622554,0.122169721,2.832041334,,soy,annual,3,N2-2,2,,16,5.6375,Conventional,Soy,,0.000257656,-8.80E-05,0.000603302,,
2018,0.215302491,1.054542779,10.38843579,,6.672046868,,soy,annual,5,N2-2,2,,16,5.6375,Conventional,Soy,,0.068064913,0.037222524,0.098907302,,
2018,0.232267038,1.039471861,14.68809791,0.095067645,7.331790813,49.1743104,soy,annual,4,N2-3,2,,1,5.6375,Conventional,Soy,,0.094296432,0.038593021,0.149999842,0.032313747,0.01130622
2018,0.183794466,0.495247865,12.9400969,0.934340837,5.920144366,,soy,annual,2,N2-3,2,,16,5.6375,Conventional,Soy,,0.002730305,0.00181371,0.003646899,0.001576751,-5.64E-05
2018,0.349665924,1.743989335,16.56095973,,5.260746638,,soy,annual,1,N2-3,2,,16,5.6375,Conventional,Soy,,2.145025082,1.906915354,2.38313481,,0.156767955
2018,0.133484163,0.851717778,12.67506194,0.091373976,5.337645984,1.94892721,soy,annual,3,N2-3,2,,16,5.6375,Conventional,Soy,,0.001047127,0.001268786,0.000825468,,
2018,0.238429173,1.023914029,14.68809791,,7.517643553,,soy,annual,5,N2-3,2,,16,5.6375,Conventional,Soy,,0.1421766,0.118319647,0.166033553,,
